year,month,location,wholesale_price,retail_price
2018,8,Bandarawela,,
2018,8,Dabulla,,
2018,8,Mullathivu,,
2018,8,Polonnaruwa,,
2018,8,Jaffna,,
2018,8,Veyangoda,,
2018,8,Colombo,,
2018,8,Hanguranketha,,
2018,8,Mannar,,
2018,8,Kurunegala,,
2018,8,Matale,,
2018,8,Ampara,,
2018,8,Hambanthota,,
2018,8,Kilinochchi,,
2018,8,Batticaloa,,
2018,8,Dehiattakandiya,,
2018,8,Trinco,,
2018,9,Galenbidunuwewa,,
2018,9,Keppetipola,,
2018,9,Puttalam,,
2018,9,Thabuththegama,,
2018,9,Embilipitiya,,
2018,9,Kandy,,
2018,9,Kaluthara,,
2018,9,Matara,,
2018,9,Vavuniya,,
2018,9,Anuradapuraya,,
2018,9,Gampaha,,
2018,9,Thissamaharama,,
2018,9,Rathnapura,,
2018,9,Kegalle,,
2018,9,Monaragala,,
2018,9,Badulla,,
2018,9,Meegoda,,
2018,9,Nikaweratiya,,
2018,9,Nuwara Eliya,,
2018,9,Galle,,
2018,9,Bandarawela,,
2018,9,Dabulla,,
2018,9,Mullathivu,,
2018,9,Polonnaruwa,,
2018,9,Jaffna,,
2018,9,Veyangoda,,
2018,9,Colombo,,
2018,9,Hanguranketha,,
2018,9,Mannar,,
2018,9,Kurunegala,,
2018,9,Matale,,
2018,9,Ampara,,
2018,9,Hambanthota,,
2018,9,Kilinochchi,,
2018,9,Batticaloa,,
2018,9,Dehiattakandiya,,
2018,9,Trinco,,
2018,10,Galenbidunuwewa,,
2018,10,Keppetipola,,
2018,10,Puttalam,,
2018,10,Thabuththegama,,
2018,10,Embilipitiya,,
2018,10,Kandy,,
2018,10,Kaluthara,,
2018,10,Matara,,
2018,10,Vavuniya,,
2018,10,Anuradapuraya,,
2018,10,Gampaha,,
2018,10,Thissamaharama,,
2018,10,Rathnapura,,
2018,10,Kegalle,,
2018,10,Monaragala,,
2018,10,Badulla,,
2018,10,Meegoda,,
2018,10,Nikaweratiya,,
2018,10,Nuwara Eliya,,
2018,10,Galle,,
2018,10,Bandarawela,,
2018,10,Dabulla,,
2018,10,Mullathivu,,
2018,10,Polonnaruwa,,
2018,10,Jaffna,,
2018,10,Veyangoda,,
2018,10,Colombo,,
2018,10,Hanguranketha,,
2018,10,Mannar,,
2018,10,Kurunegala,,
2018,10,Matale,,
2018,10,Ampara,,
2018,10,Hambanthota,,
2018,10,Kilinochchi,,
2018,10,Batticaloa,,
2018,10,Dehiattakandiya,,
2018,10,Trinco,,
2018,11,Galenbidunuwewa,,
2018,11,Keppetipola,,
2018,11,Puttalam,,
2018,11,Thabuththegama,,
2018,11,Embilipitiya,,
2018,11,Kandy,,
2018,11,Kaluthara,,
2018,11,Matara,,
2018,11,Vavuniya,,
2018,11,Anuradapuraya,,
2018,11,Gampaha,,
2018,11,Thissamaharama,,
2018,11,Rathnapura,,
2018,11,Kegalle,,
2018,11,Monaragala,,
2018,11,Badulla,,
2018,11,Meegoda,,
2018,11,Nikaweratiya,,
2018,11,Nuwara Eliya,,
2018,11,Galle,,
2018,11,Bandarawela,,
2018,11,Dabulla,,
2018,11,Mullathivu,,
2018,11,Polonnaruwa,,
2018,11,Jaffna,,
2018,11,Veyangoda,,
2018,11,Colombo,,
2018,11,Hanguranketha,,
2018,11,Mannar,,
2018,11,Kurunegala,,
2018,11,Matale,,
2018,11,Ampara,,
2018,11,Hambanthota,,
2018,11,Kilinochchi,,
2018,11,Batticaloa,,
2018,11,Dehiattakandiya,,
2018,11,Trinco,,
2018,12,Galenbidunuwewa,,
2018,12,Keppetipola,,
2018,12,Puttalam,,
2018,12,Thabuththegama,,
2018,12,Embilipitiya,,
2018,12,Kandy,,
2018,12,Kaluthara,,
2018,12,Matara,,
2018,12,Vavuniya,,
2018,12,Anuradapuraya,,
2018,12,Gampaha,,
2018,12,Thissamaharama,,
2018,12,Rathnapura,,
2018,12,Kegalle,,
2018,12,Monaragala,,
2018,12,Badulla,,
2018,12,Meegoda,,
2018,12,Nikaweratiya,,
2018,12,Nuwara Eliya,,
2018,12,Galle,,
2018,12,Bandarawela,,
2018,12,Dabulla,,
2018,12,Mullathivu,,
2018,12,Polonnaruwa,,
2018,12,Jaffna,,
2018,12,Veyangoda,,
2018,12,Colombo,,
2018,12,Hanguranketha,,
2018,12,Mannar,,
2018,12,Kurunegala,,
2018,12,Matale,,
2018,12,Ampara,,
2018,12,Hambanthota,,
2018,12,Kilinochchi,,
2018,12,Batticaloa,,
2018,12,Dehiattakandiya,,
2018,12,Trinco,,
2019,1,Galenbidunuwewa,,
2019,1,Keppetipola,,
2019,1,Puttalam,,
2019,1,Thabuththegama,,
2019,1,Embilipitiya,,
2019,1,Kandy,,
2019,1,Kaluthara,,
2019,1,Matara,,
2019,1,Vavuniya,,
2019,1,Anuradapuraya,,
2019,1,Gampaha,,
2019,1,Thissamaharama,,
2019,1,Rathnapura,,
2019,1,Kegalle,,
2019,1,Monaragala,,
2019,1,Badulla,,
2019,1,Meegoda,,
2019,1,Nikaweratiya,,
2019,1,Nuwara Eliya,,
2019,1,Galle,,
2019,1,Bandarawela,,
2019,1,Dabulla,,
2019,1,Mullathivu,,
2019,1,Polonnaruwa,,
2019,1,Jaffna,,
2019,1,Veyangoda,,
2019,1,Colombo,,
2019,1,Hanguranketha,,
2019,1,Mannar,,
2019,1,Kurunegala,,
2019,1,Matale,,
2019,1,Ampara,,
2019,1,Hambanthota,,
2019,1,Kilinochchi,,
2019,1,Batticaloa,,
2019,1,Dehiattakandiya,,
2019,1,Trinco,,
2019,2,Galenbidunuwewa,,
2019,2,Keppetipola,,
2019,2,Puttalam,,
2019,2,Thabuththegama,,
2019,2,Embilipitiya,,
2019,2,Kandy,,
2019,2,Kaluthara,,
2019,2,Matara,,
2019,2,Vavuniya,,
2019,2,Anuradapuraya,,
2019,2,Gampaha,,
2019,2,Thissamaharama,,
2019,2,Rathnapura,,
2019,2,Kegalle,,
2019,2,Monaragala,,
2019,2,Badulla,,
2019,2,Meegoda,,
2019,2,Nikaweratiya,,
2019,2,Nuwara Eliya,,
2019,2,Galle,,
2019,2,Bandarawela,,
2019,2,Dabulla,,
2019,2,Mullathivu,,
2019,2,Polonnaruwa,,
2019,2,Jaffna,,
2019,2,Veyangoda,,
2019,2,Colombo,,
2019,2,Hanguranketha,,
2019,2,Mannar,,
2019,2,Kurunegala,,
2019,2,Matale,,
2019,2,Ampara,,
2019,2,Hambanthota,,
2019,2,Kilinochchi,,
2019,2,Batticaloa,,
2019,2,Dehiattakandiya,,
2019,2,Trinco,,
2019,3,Galenbidunuwewa,,
2019,3,Keppetipola,,
2019,3,Puttalam,,
2019,3,Thabuththegama,,
2019,3,Embilipitiya,,
2019,3,Kandy,,
2019,3,Kaluthara,,
2019,3,Matara,,
2019,3,Vavuniya,,
2019,3,Anuradapuraya,,
2019,3,Gampaha,,
2019,3,Thissamaharama,,
2019,3,Rathnapura,,
2019,3,Kegalle,,
2019,3,Monaragala,,
2019,3,Badulla,,
2019,3,Meegoda,,
2019,3,Nikaweratiya,,
2019,3,Nuwara Eliya,,
2019,3,Galle,,
2019,3,Bandarawela,,
2019,3,Dabulla,,
2019,3,Mullathivu,,
2019,3,Polonnaruwa,,
2019,3,Jaffna,,
2019,3,Veyangoda,,
2019,3,Colombo,,
2019,3,Hanguranketha,,
2019,3,Mannar,,
2019,3,Kurunegala,,
2019,3,Matale,,
2019,3,Ampara,,
2019,3,Hambanthota,,
2019,3,Kilinochchi,,
2019,3,Batticaloa,,
2019,3,Dehiattakandiya,,
2019,3,Trinco,,
2019,4,Galenbidunuwewa,,
2019,4,Keppetipola,,
2019,4,Puttalam,,
2019,4,Thabuththegama,,
2019,4,Embilipitiya,,
2019,4,Kandy,,
2019,4,Kaluthara,,
2019,4,Matara,,
2019,4,Vavuniya,,
